ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|ED|
ED|DR|DR|AR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|TO|DR|DR|DR|RU|DR|DR|DR|UR|DR|DR|DR|DI|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|TO|DI|DR|DR|DR|DR|DR|DR|RU|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|AR|ST|DR|DR|DR|UR|DR|DR|AR|DR|DR|DR|ST|DR|ED|
ED|DI|DR|DR|DR|ST|DR|DR|DR|AR|DR|DR|DR|UR|DR|DR|ST|DR|RU|AR|DR|DR|DR|DR|ST|DI|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|UR|DR|DR|TO|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|TO|TO|DR|DR|RU|DR|DR|DI|DR|DR|DI|DR|RU|DR|DR|DR|DR|TO|DR|DR|ST|DR|DR|ST|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|ED|
ED|DR|DR|DI|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DI|DR|DR|DR|DR|DR|DR|ST|RU|DR|DR|DR|DR|AR|DR|DR|DR|DR|DR|ST|DR|DR|DR|ST|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|UR|RU|DR|DR|UR|DR|DR|DR|DR|DR|AR|MA|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|RU|DR|ST|DR|DR|DR|AR|DR|DR|TO|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ED|
ED|DR|DR|DR|DI|ST|UR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|UR|DR|DI|DR|DR|DR|DR|DR|AR|DR|MA|DR|DR|TO|DR|DR|DR|DR|DR|DR|DR|DR|TO|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|RU|RU|DR|DR|DR|ST|DR|DR|DR|ST|DR|DR|ST|DR|DR|AR|DR|DR|MA|ED|
ED|ST|DR|DR|DR|DR|DR|TO|DR|DR|TO|DR|DR|DR|DI|DR|MA|DR|DR|UR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|TO|DR|DR|ST|DR|DR|ST|DR|DR|DR|AR|DR|DR|DR|DR|TO|DR|DR|DR|DR|DR|DR|DR|TO|DR|DR|DI|DR|DR|DR|ST|DR|TO|ST|RU|DR|DR|DR|DR|DR|MA|DR|DR|DI|DR|DR|DR|ST|DR|DR|DR|DR|ST|DR|DR|MA|TO|ST|DR|DR|DR|DR|DR|DR|ED|
ED|DR|DR|ST|DR|DR|TO|ST|DR|DR|DR|DR|DR|MA|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|TO|DR|DR|DR|TO|DR|DR|DI|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|TO|DR|DR|ST|DR|DR|DR|DR|DI|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DI|MA|DR|AR|AR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|ED|
ED|DR|DR|DR|DR|DR|DR|DR|TO|DR|TO|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|AR|DR|DR|DR|DR|DR|DR|DR|DR|DI|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DI|DR|DR|DR|TO|DR|DR|DR|DR|DR|DR|DR|DR|RU|TO|DR|ST|DR|DR|DR|DR|ED|
ED|DR|DR|DR|DR|TO|DR|DR|DR|DR|DR|DR|DR|DR|DI|DR|DR|DR|ST|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|MA|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|TO|UR|DR|DR|DR|DR|DR|DR|ST|DR|DR|UR|DR|DR|DR|DR|DR|ST|DR|TO|DR|ST|DR|DR|DI|DR|UR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ED|
ED|DR|ST|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|RU|DR|DR|DR|ST|MA|DR|DR|DR|DI|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|ST|MA|DR|DR|DR|UR|DR|DR|DR|DR|DR|DR|DR|DR|TO|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|UR|DR|DR|DR|DR|AR|DR|DR|DI|DR|DR|DR|DR|DR|DR|DR|DR|DI|DR|DR|DR|DR|ST|DR|UR|MA|DR|DR|DR|DR|DR|DR|DR|DR|ED|
ED|DR|AR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|UR|DR|DR|DR|DR|DR|UR|DR|DR|ST|AR|DR|DR|DR|DR|AR|DR|DR|DR|DR|UR|ST|TO|ST|DR|DR|DR|DR|DR|DR|AR|DR|RU|ST|DR|ST|DR|DR|DR|TO|DR|DR|DR|DR|MA|DR|DR|DR|DR|ST|DR|DR|UR|DR|RU|DR|DR|DR|DR|DR|DR|DR|DR|RU|DR|DR|DR|DR|AR|DR|DR|DR|DR|TO|DR|TO|DR|DR|DR|DR|DR|DR|DR|ED|
ED|DR|DR|DR|DR|TO|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DI|DR|DR|DR|DR|DR|DR|DR|UR|DR|DR|DR|DR|ST|DR|ST|DR|DR|DR|ST|DI|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|MA|ST|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|ST|DI|DR|DR|ST|DR|DR|DR|ED|
ED|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|RU|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|RU|DI|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|AR|ST|ST|DR|DR|DR|RU|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|AR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DI|DR|DR|DR|DR|DR|DR|DR|AR|DR|ST|ED|
ED|DR|UR|ST|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|UR|DR|DR|MA|DI|DR|DR|DR|DR|DR|DR|DR|ST|DR|MA|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|MA|DR|DR|MA|DR|DR|DR|DR|UR|DR|DR|RU|DR|ST|DR|DR|DR|DR|DR|DR|ST|UR|ST|DR|DR|DR|DR|DR|RU|DR|DR|DI|DR|ST|DR|DR|DR|DR|DR|DR|RU|DR|AR|DI|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|MA|ST|ED|
ED|DR|DR|DR|TO|DR|MA|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|AR|DR|DR|DR|UR|DR|UR|DR|DR|DR|DR|DR|DR|AR|DR|DR|AR|UR|UR|DR|UR|DR|DR|DR|DR|DR|AR|DR|DR|DR|DR|DR|UR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|UR|DR|DR|RU|DR|RU|DR|ST|DR|DI|ST|DR|DR|DR|DR|DR|DR|DR|DR|ED|
ED|DR|ST|DR|DR|DI|DR|DR|DR|DR|UR|DR|ST|DR|DI|DR|DR|DR|DI|DR|DR|DR|DR|DR|DR|DR|UR|DR|MA|DR|DR|ST|DR|DR|DR|MA|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|RU|DR|DR|DR|DR|DR|ST|AR|DI|DR|DR|DR|RU|DR|RU|DR|DR|ST|MA|DR|DR|DR|DR|DR|ST|DI|DR|ST|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ED|
ED|DR|DR|DR|DR|DR|DR|ST|DR|ST|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|TO|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DI|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|UR|DR|RU|DR|DR|DR|DR|DR|UR|DR|DR|DR|DR|DR|UR|RU|DR|DR|DR|ST|DR|RU|DR|DR|RU|ST|ST|DR|RU|DR|DR|DR|DR|DR|DR|RU|DR|DR|DR|DR|DR|DR|DR|TO|ST|DR|ED|
ED|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|ST|DR|DR|DR|DR|DR|DI|DR|UR|ST|UR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|ST|RU|RU|TO|DR|DR|DR|DR|DR|DR|UR|DR|DR|ST|DI|DR|DR|AR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DI|TO|DR|DR|DI|DR|DR|DR|MA|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DI|ED|
ED|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DI|DR|DR|DR|DR|DR|DR|DR|MA|DR|DR|DR|DI|DR|UR|MA|DR|DR|ST|DR|DR|DR|UR|DR|ST|DR|DR|DR|DR|DR|UR|DR|DR|DR|UR|DR|DR|DI|UR|DR|DR|DR|DR|ST|DR|DR|MA|DR|DI|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|TO|DR|DR|DR|DI|DR|DR|MA|ST|DR|DR|DR|DR|DR|DR|DR|DR|ST|ED|
ED|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|MA|DR|DI|DR|DR|DR|DR|DR|DR|DR|DR|DR|RU|DR|DR|DR|UR|RU|AR|DR|ST|DR|DR|DR|DR|DR|DR|TO|DR|DR|TO|DR|DR|DR|ST|DR|DR|DR|TO|DR|MA|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|AR|DR|DR|DR|DR|DR|DR|DR|ST|ST|DR|DR|DR|UR|DR|ED|
ED|DR|DR|DR|UR|DR|DR|DR|DR|DR|UR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|RU|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DI|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|AR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DI|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|ST|DR|UR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ED|
ED|DI|DR|DR|DR|DR|DR|UR|DR|ST|ST|DR|UR|MA|DR|ST|DR|DR|DR|DR|DR|MA|DR|DR|MA|DR|DR|RU|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|RU|DR|DR|DR|DR|RU|DR|DR|DR|DR|DR|DR|MA|DR|DR|MA|DR|DR|ST|DR|DR|AR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|AR|DR|DR|DR|RU|DR|RU|DR|DR|DR|DR|DR|ED|
ED|DR|ST|RU|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|TO|DR|AR|DR|DR|DR|ST|DR|DR|UR|DR|DR|DR|DR|AR|DR|DR|DI|DR|DR|DR|DR|DR|ST|DR|DR|MA|DR|AR|DR|DR|DR|DR|DR|DR|DR|DR|DR|MA|DR|DR|DR|DR|ST|DR|DI|DI|DR|AR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ED|
ED|DR|DR|ST|ST|DR|DR|DR|ST|DR|DR|DR|DR|DI|DR|DR|DR|DR|DR|DR|TO|DR|DR|DR|TO|DR|DR|UR|UR|DR|DR|DR|DR|DR|TO|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|TO|DR|DR|ST|ST|ST|DI|DR|DR|DR|DR|ST|DR|DR|RU|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|TO|ST|DR|DR|DR|DR|TO|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ED|
ED|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|ST|DR|DR|DR|DR|RU|DR|DR|DR|ST|DR|DR|RU|DR|DR|DR|DR|TO|DR|DR|MA|DR|ST|DR|DR|DR|ST|DR|UR|DR|DR|DI|DR|DR|AR|DR|UR|ST|DI|DR|DR|DR|UR|DR|DR|DR|DR|DR|DR|DR|DR|ST|RU|DR|DR|RU|AR|DR|DR|TO|DR|DR|ST|MA|ST|ST|DR|DR|MA|DR|DR|ST|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|ED|
ED|DR|DR|DR|RU|DR|DR|DR|DR|DR|ST|DR|DR|DR|RU|ST|DR|AR|DR|DR|UR|DR|DR|DR|DR|DR|DR|DR|DI|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|UR|MA|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|UR|DR|DR|DR|DR|ST|MA|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|TO|ED|
ED|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DI|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|MA|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|RU|DR|DR|DR|DR|DR|UR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|UR|DR|DR|MA|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|ST|DR|ST|DR|DR|ED|
ED|DR|DR|DR|ST|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|ST|DR|TO|DR|TO|DR|ST|DR|DR|DR|DR|DR|TO|ST|TO|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|UR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|AR|RU|DR|ST|AR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ED|
ED|DR|DR|DR|DR|DR|DR|DR|DR|TO|DR|DR|RU|DR|UR|MA|ST|ST|DR|DR|DR|TO|DR|MA|DR|DR|DR|DR|DR|DR|DR|DR|TO|RU|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DI|DR|DR|DR|DR|DR|TO|DR|DR|DR|DR|DR|DR|DR|DR|DI|DR|ST|DR|DR|ST|DR|ST|DI|DR|DR|DR|DR|DR|DR|DR|DR|MA|DR|DR|DR|DR|DR|DR|ED|
ED|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|UR|DR|ST|DR|DR|DR|DR|DR|DR|RU|DR|DR|DR|UR|DR|DR|DR|RU|DR|DR|ST|RU|DR|DR|DR|TO|DR|DR|DR|DI|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DI|DR|DR|DR|DR|DR|DR|DR|RU|DR|DR|DR|DR|DR|DR|DR|DR|DR|RU|AR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DI|DR|DR|TO|DR|ST|UR|DR|ED|
ED|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|RU|DR|DR|DR|DR|DR|DR|DR|DR|RU|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DI|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|UR|DR|DR|DR|TO|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|AR|DR|DR|DR|DR|DR|DR|DR|UR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|ED|
ED|DR|DR|DR|ST|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|AR|DR|DR|DR|DR|DR|DR|MA|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|AR|DR|DR|ST|DR|RU|DR|DR|DR|DR|DR|DR|DR|DR|DR|UR|TO|DR|DR|DR|UR|DR|DR|DR|DR|DI|DR|UR|DR|DR|DR|DR|DR|DR|DR|ST|DR|ST|TO|MA|ST|DR|DR|DR|DR|DR|DR|DR|MA|DR|TO|DR|DR|DR|DR|DR|DR|ED|
ED|DR|RU|DR|DR|ST|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|TO|DR|UR|DR|UR|DR|DR|TO|ST|DR|ST|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|TO|DR|ST|ST|DR|DR|DR|DR|DR|ST|ST|DR|DR|ST|MA|DR|DR|DR|DR|DR|DR|DR|UR|DR|DR|DR|ST|DR|DR|DR|MA|DR|DR|DR|ST|ED|
ED|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|TO|DR|DR|DR|DR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DI|AR|DR|DR|DI|DR|TO|DI|DR|DR|DR|DR|DI|DI|DR|DR|DR|DR|RU|DR|DR|DR|ST|DR|ST|DR|DR|DR|DR|DR|DI|AR|TO|DR|DR|DR|AR|DR|DR|DR|DR|ST|ST|DR|DR|DR|ST|ST|DR|DR|RU|UR|UR|DR|RU|DR|TO|DR|DR|DR|DR|RU|DR|DR|DR|DR|ED|
ED|DR|DR|MA|TO|DR|DR|ST|DR|DR|DR|DR|DI|DR|DR|DR|DR|DR|MA|MA|DR|DR|DR|DR|DR|DR|DR|DR|DR|UR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|AR|DR|DR|DR|ST|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|UR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|DR|AR|DR|UR|TO|DR|ST|DR|DR|DR|DR|DR|RU|DR|DR|ST|DR|ST|DR|RU|DR|DR|DR|DR|DR|RU|DR|ED|
